Date,Open,High,Low,Close,Volume,Adj Close
2014-08-13,31.290001,31.700001,30.870001,31.370001,4700,31.370001
2014-08-12,31.379999,31.530001,30.959999,31.40,6600,31.40
2014-08-11,31.83,32.439999,31.83,32.049999,2700,32.049999
2014-08-08,31.799999,31.83,31.35,31.610001,5700,31.610001
2014-08-07,31.110001,31.700001,30.959999,31.49,1200,31.49
2014-08-06,31.84,32.099998,30.83,31.200001,15600,31.200001
2014-08-05,32.169998,32.169998,31.209999,31.700001,4500,31.700001
2014-08-04,31.780001,32.779999,31.780001,32.779999,3500,32.779999
2014-08-01,31.469999,31.950001,31.32,31.610001,16400,31.610001
2014-07-31,33.599998,33.889999,32.16,32.220001,11300,32.220001
2014-07-30,35.369999,35.369999,33.799999,33.93,8700,33.93
2014-07-29,34.849998,35.139999,34.68,35.139999,7700,35.139999
2014-07-28,35.400002,36.009998,35.400002,36.009998,3700,36.009998
2014-07-25,35.419998,36.299999,35.25,36.209999,2300,36.209999
2014-07-24,37.25,37.25,36.150002,36.150002,4700,36.150002
2014-07-23,37.139999,37.439999,36.959999,37.419998,2900,37.419998
2014-07-22,36.869999,36.919998,36.57,36.630001,14600,36.630001
2014-07-21,36.59,37.299999,36.349998,37.130001,11600,37.130001
2014-07-18,35.98,36.50,35.98,36.029999,4900,36.029999
2014-07-17,36.619999,36.75,35.540001,36.349998,19900,36.349998
2014-07-16,34.59,35.040001,34.50,35.040001,10900,35.040001
2014-07-15,33.700001,33.950001,32.860001,33.950001,6100,33.950001
2014-07-14,35.889999,35.889999,34.02,34.959999,11000,34.959999
2014-07-11,30.40,35.91,30.40,34.509998,17200,34.509998
2014-07-10,35.869999,37.009998,35.77,36.950001,5100,36.950001
2014-07-09,36.830002,36.830002,36.419998,36.549999,2300,36.549999
2014-07-08,37.509998,37.610001,36.950001,37.610001,2600,37.610001
2014-07-07,37.290001,37.619999,37.200001,37.349998,8100,37.349998
2014-07-03,37.75,37.990002,37.720001,37.82,2900,37.82
2014-07-02,38.849998,39.50,38.080002,38.130001,12900,38.130001
2014-07-01,39.959999,40.00,38.889999,39.700001,9500,39.700001
2014-06-30,39.990002,39.990002,38.880001,39.599998,2300,39.599998
2014-06-27,40.490002,40.490002,39.52,39.880001,2500,39.880001
2014-06-26,40.150002,40.189999,39.299999,39.810001,18500,39.810001
2014-06-25,40.099998,41.009998,40.099998,40.93,10900,40.93
2014-06-24,40.279999,40.84,39.98,40.299999,42500,40.299999
2014-06-23,42.490002,43.990002,40.209999,40.740002,10100,40.740002
2014-06-20,40.689999,41.299999,40.689999,41.25,24400,41.25
2014-06-19,39.68,40.950001,39.50,40.400002,7400,40.400002
2014-06-18,40.41,40.630001,39.689999,40.029999,5400,40.029999
